Cifras absolutas y relativas;Sexo;Edad;Tipo de bebidas consumidas;Frecuencia de consumo;Total
CIFRAS ABSOLUTAS;Ambos sexos;De 35 a 44 años;Copas de vino, champagne o cava;Menos de 1 día al mes;881,9
CIFRAS ABSOLUTAS;Ambos sexos;De 35 a 44 años;Copas de vino, champagne o cava;No ha consumido este tipo de bebida;1.030,6
CIFRAS ABSOLUTAS;Ambos sexos;De 35 a 44 años;Cañas de cerveza ( con alcohol), sidra;Total;4.007,1
CIFRAS ABSOLUTAS;Ambos sexos;De 35 a 44 años;Cañas de cerveza ( con alcohol), sidra;Cuatro o más días a la semana;888,2
CIFRAS ABSOLUTAS;Ambos sexos;De 35 a 44 años;Cañas de cerveza ( con alcohol), sidra;De 1 a 3 días a la semana;1.413,9
CIFRAS ABSOLUTAS;Ambos sexos;De 35 a 44 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día a la semana y al menos 1 día al mes;291,5
CIFRAS ABSOLUTAS;Ambos sexos;De 35 a 44 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día al mes;625,4
CIFRAS ABSOLUTAS;Ambos sexos;De 35 a 44 años;Cañas de cerveza ( con alcohol), sidra;No ha consumido este tipo de bebida;788,2
CIFRAS ABSOLUTAS;Ambos sexos;De 45 a 54 años;Copas de vino, champagne o cava;Total;3.241,8
CIFRAS ABSOLUTAS;Ambos sexos;De 45 a 54 años;Copas de vino, champagne o cava;Cuatro o más días a la semana;1.134,7
CIFRAS ABSOLUTAS;Ambos sexos;De 45 a 54 años;Copas de vino, champagne o cava;De 1 a 3 días a la semana;617,2
CIFRAS ABSOLUTAS;Ambos sexos;De 45 a 54 años;Copas de vino, champagne o cava;Menos de 1 día a la semana y al menos 1 día al mes;226,7
CIFRAS ABSOLUTAS;Ambos sexos;De 45 a 54 años;Copas de vino, champagne o cava;Menos de 1 día al mes;573,4
CIFRAS ABSOLUTAS;Ambos sexos;De 45 a 54 años;Copas de vino, champagne o cava;No ha consumido este tipo de bebida;689,8
CIFRAS ABSOLUTAS;Ambos sexos;De 45 a 54 años;Cañas de cerveza ( con alcohol), sidra;Total;3.241,8
CIFRAS ABSOLUTAS;Ambos sexos;De 45 a 54 años;Cañas de cerveza ( con alcohol), sidra;Cuatro o más días a la semana;701,2
CIFRAS ABSOLUTAS;Ambos sexos;De 45 a 54 años;Cañas de cerveza ( con alcohol), sidra;De 1 a 3 días a la semana;889,2
CIFRAS ABSOLUTAS;Ambos sexos;De 45 a 54 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día a la semana y al menos 1 día al mes;204,7
CIFRAS ABSOLUTAS;Ambos sexos;De 45 a 54 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día al mes;527,4
CIFRAS ABSOLUTAS;Ambos sexos;De 45 a 54 años;Cañas de cerveza ( con alcohol), sidra;No ha consumido este tipo de bebida;919,4
CIFRAS ABSOLUTAS;Ambos sexos;De 55 a 64 años;Copas de vino, champagne o cava;Total;2.357,1
CIFRAS ABSOLUTAS;Ambos sexos;De 55 a 64 años;Copas de vino, champagne o cava;Cuatro o más días a la semana;1.076,6
CIFRAS ABSOLUTAS;Ambos sexos;De 55 a 64 años;Copas de vino, champagne o cava;De 1 a 3 días a la semana;452,6
CIFRAS ABSOLUTAS;Ambos sexos;De 55 a 64 años;Copas de vino, champagne o cava;Menos de 1 día a la semana y al menos 1 día al mes;127,8
CIFRAS ABSOLUTAS;Ambos sexos;De 55 a 64 años;Copas de vino, champagne o cava;Menos de 1 día al mes;422,2
CIFRAS ABSOLUTAS;Ambos sexos;De 55 a 64 años;Copas de vino, champagne o cava;No ha consumido este tipo de bebida;277,9
CIFRAS ABSOLUTAS;Ambos sexos;De 55 a 64 años;Cañas de cerveza ( con alcohol), sidra;Total;2.357,1
CIFRAS ABSOLUTAS;Ambos sexos;De 55 a 64 años;Cañas de cerveza ( con alcohol), sidra;Cuatro o más días a la semana;364,5
CIFRAS ABSOLUTAS;Ambos sexos;De 55 a 64 años;Cañas de cerveza ( con alcohol), sidra;De 1 a 3 días a la semana;510,5
CIFRAS ABSOLUTAS;Ambos sexos;De 55 a 64 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día a la semana y al menos 1 día al mes;141,7
CIFRAS ABSOLUTAS;Ambos sexos;De 55 a 64 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día al mes;422,6
CIFRAS ABSOLUTAS;Ambos sexos;De 55 a 64 años;Cañas de cerveza ( con alcohol), sidra;No ha consumido este tipo de bebida;917,7
CIFRAS ABSOLUTAS;Ambos sexos;De 65 a 74 años;Copas de vino, champagne o cava;Total;1.819,4
