bodega,vino,anio,calificacion,num_resenas,region,precio,tipo,cuerpo,acidez,id_vino
Alto Moncayo,Veraton Garnacha,2014,4.2,1627,Campo de Borja,19.94,Garnacha,5.0,3.0,1836
R. Lopez de Heredia,Vina Bosconia Reserva,2009,4.2,1611,Rioja Alta,23.52,Rioja Tinto,4.0,3.0,1837
Casa Rojo,Alexander vs. The Ham Factory,2016,4.2,1573,Ribera del Duero,33.3733333333333,Ribera del Duero Tinto,5.0,3.0,1838
Dominio de Pingus,PSI,2019,4.2,1355,Ribera del Duero,34.5,Ribera del Duero Tinto,5.0,3.0,1839
Alto Moncayo,Veraton Garnacha,2018,4.2,1343,Campo de Borja,21.6,Garnacha,5.0,3.0,1840
La Rioja Alta,Vina Alberdi Crianza,2015,4.2,1341,Rioja,11.2,Rioja Tinto,4.0,3.0,1841
Huerta de Albala,Taberner Tierra de Cadiz,2014,4.2,1337,Cadiz,32.0010770950795,Syrah,4.0,3.0,1842
Marques de Riscal,Rioja Gran Reserva,2011,4.2,1319,Rioja,39.5,Rioja Tinto,4.0,3.0,1843
Garmon,Ribera del Duero,2015,4.2,1308,Ribera del Duero,33.59,Ribera del Duero Tinto,5.0,3.0,1844
Marques de Murrieta,Capellania Reserva,2015,4.2,1301,Rioja,29.15,Rioja Blanco,3.0,3.0,1845
Aster,Finca El Otero,2014,4.2,1267,Ribera del Duero,28.75,Ribera del Duero Tinto,5.0,3.0,1846
Matarromera,Crianza,2017,4.2,1209,Ribera del Duero,16.88,Ribera del Duero Tinto,5.0,3.0,1847
Gramona,Gessami,2019,4.2,1164,Penedes,9.95,DO Penedés ,3.0,4.0,1848
Dominio de Atauta,Dominio de Atauta,2016,4.2,1159,Ribera del Duero,25.71,Ribera del Duero Tinto,5.0,3.0,1849
Bodegas Ximenez-Spinola,Finest Old Harvest Medium,N.V.,4.2,1155,Jerez-Xeres-Sherry,18.87,Pedro Ximenez,5.0,1.0,1850
Huerta de Albala,Taberner Tierra de Cadiz,2015,4.2,1125,Cadiz,17.04,Syrah,4.0,3.0,1851
Montecastro,Ribera del Duero Red,2015,4.2,1095,Ribera del Duero,18.9,Ribera del Duero Tinto,5.0,3.0,1852
Bosque de Matasnos,Bosque de Matasnos Etiqueta Blanca,2017,4.2,1093,Ribera del Duero,55.75,Ribera del Duero Tinto,5.0,3.0,1853
Garmon,Ribera del Duero,2014,4.2,1086,Ribera del Duero,37.9,Ribera del Duero Tinto,5.0,3.0,1854
Bodegas La Horra,Corimbo I,2014,4.2,1078,Ribera del Duero,39.0,Ribera del Duero Tinto,5.0,3.0,1855
Carmelo Rodero,Crianza,2018,4.2,1070,Ribera del Duero,16.49,Ribera del Duero Tinto,5.0,3.0,1856
Atalaya,La Atalaya del Camino,2019,4.2,1048,Almansa,11.66,Tinto,4.0,3.0,1857
R. Lopez de Heredia,Vina Tondonia Reserva Blanco,2005,4.2,1043,Rioja Alta,26.9,Rioja Blanco,3.0,3.0,1858
Protos,Reserva 5 Ano,2015,4.2,1040,Ribera del Duero,22.95,Ribera del Duero Tinto,5.0,3.0,1859
Emilio Moro,Malleolus,2014,4.2,1030,Ribera del Duero,31.95,Ribera del Duero Tinto,5.0,3.0,1860
Gonzalez-Byass,Del Duque Amontillado Sherry VORS,N.V.,4.2,1016,Jerez Amontillado,77.22,Jerez,4.0,3.0,1861
Alvaro Palacios,Les Terrasses Velles Vinyes Priorat,2017,4.2,1016,Priorato,85.9,Priorat Tinto,4.0,3.0,1862
Familia Torres,Salmos,2017,4.2,1008,Priorato,20.99,Priorat Tinto,4.0,3.0,1863
Bodega Numanthia,Numanthia,2013,4.2,998,Toro,51.19,Toro Tinto,5.0,3.0,1864
Alvaro Palacios,Les Terrasses Laderas de Pizarra,2016,4.2,970,Priorato,32.25,Priorat Tinto,4.0,3.0,1865
Merum Priorati,Inici,2017,4.2,969,Priorato,39.0,Priorat Tinto,4.0,3.0,1866
Familia Torres,Mas La Plana Cabernet Sauvignon,2016,4.2,964,Penedes,56.26,Cabernet Sauvignon,4.0,3.0,1867
Bodegas La Horra,Corimbo I,2011,4.2,918,Ribera del Duero,23.4,Ribera del Duero Tinto,5.0,3.0,1868
Castillo Perelada,5 Finques (Fincas) Reserva,2017,4.2,918,Emporda,11.35,Tinto,4.0,3.0,1869
Bodegas La Horra,Corimbo I,2013,4.2,915,Ribera del Duero,37.5,Ribera del Duero Tinto,5.0,3.0,1870
Quinta Sardonia,QS,2010,4.2,900,Castilla y Leon,40.76,Tinto,4.0,3.0,1871
Martinet,Martinet Bru (Garnatxa - Syrah),2019,4.2,897,Priorato,21.9,Priorat Tinto,4.0,3.0,1872
La Rioja Alta,Vina Ardanza Reserva,2000,4.2,883,Rioja,161.0,Rioja Tinto,4.0,3.0,1873
Vinedos de Paganos,El Puntido,2013,4.2,879,Rioja,34.41,Rioja Tinto,4.0,3.0,1874
Emilio Moro,Ribera del Duero,2019,4.2,876,Ribera del Duero,16.95,Ribera del Duero Tinto,5.0,3.0,1875
Alvaro Palacios,Finca Dofi,2015,4.2,865,Priorato,52.5,Priorat Tinto,4.0,3.0,1876
Protos,Reserva 5 Ano,2014,4.2,855,Ribera del Duero,19.53,Ribera del Duero Tinto,5.0,3.0,1877
Bodegas Valduero,Ribera Del Duero Reserva,2012,4.2,852,Ribera del Duero,30.0,Ribera del Duero Tinto,5.0,3.0,1878
Marques de Riscal,Rioja Gran Reserva,2014,4.2,840,Rioja,35.63,Rioja Tinto,4.0,3.0,1879
Bodegas Roda,Roda Reserva Rioja,2017,4.2,834,Rioja,25.5,Rioja Tinto,4.0,3.0,1880
Bodegas Amaren,Angeles de Amaren Tempranillo - Graciano,2015,4.2,832,Rioja,19.38,Rioja Tinto,4.0,3.0,1881
Marques de Murrieta,Reserva Rioja (Finca Ygay),2017,4.2,811,Rioja,20.9,Rioja Tinto,4.0,3.0,1882
Arzuaga,Ribera del Duero Crianza,2019,4.2,806,Ribera del Duero,18.5,Ribera del Duero Tinto,5.0,3.0,1883
Marques de Riscal,Reserva XR,2015,4.2,778,Rioja,23.0,Rioja Tinto,4.0,3.0,1884
Familia Torres,Purgatori Costers del Segre,2016,4.2,778,Costers del Segre,38.37,Tinto,4.0,3.0,1885
Familia Torres,Purgatori Costers del Segre,2017,4.2,777,Costers del Segre,25.5,Tinto,4.0,3.0,1886
Ramon Bilbao,Mirto,2012,4.2,776,Rioja,35.0,Rioja Tinto,4.0,3.0,1887
Ossian,Vinas Viejas Verdejo,2015,4.2,769,Castilla y Leon,30.0,Verdejo,3.0,3.0,1888
Hispano Suizas,Bassus Pinot Noir,2017,4.2,753,Utiel-Requena,18.95,Tinto,4.0,3.0,1889
Murviedro,Sericis Cepas Viejas Monastrell,2017,4.2,745,Valencia,8.95,Monastrell,5.0,3.0,1890
Castillo Perelada,Finca Malaveina,2016,4.2,740,Emporda,25.35,Tinto,4.0,3.0,1891
